id,name,table_bookings,online_ordering,location,rating,votes,phone,restaurant_type,restaurant_operation,popular_dishes,cuisines_offered,primary_cuisine,dining_cost
51340,KA53,Yes,No,Chinatown,3.9 /5,45.0,080 49652151,Delivery,Dine-out,5.0,3.0,Italian,0.0
27622,Polamma's Mess,Yes,No,Lower Manhattan,4.2/5,185.0, 9743060222,Mess,Delivery,7.0,3.0,American,0.0
936,Al-Bek,Yes,No,Midtown,3.6/5,208.0,080 43334321,Takeaway,Delivery,2.0,6.0,Italian,0.0
2818,Mockaholic Restro Beer Cafe,Yes,No,Midtown,3.9/5,914.0,"080 42033222,  8884088553",Bar,Delivery,7.0,4.0,American,1.0
50039,Park N Eat,Yes,No,Staten and Ellis Islands,3.7 /5,18.0," 9606628430
 9035358051",Quick Bites,Dine-out,1.0,2.0,Chinese,0.0
23660,The Trundle,Yes,No,Chelsea,3.7/5,133.0, 9986520008,,Dine-out,7.0,4.0,Chinese,1.0
36848,Tella Tales,Yes,No,Tribeca,4.2 /5,414.0, 8792110657,Cafe,Dine-out,7.0,3.0,Snacks,1.0
4031,Moti Mahal Delux,Yes,Yes,East Village,4.0/5,547.0," 9844553321,  9742455177",Casual Dining,Delivery,7.0,2.0,American,1.0
981,A2B - Adyar Ananda Bhavan,Yes,No,Midtown,4.1/5,51.0,080 43334321,Takeaway,Delivery,1.0,4.0,Mexican,0.0
44919,The Pizza Bakery,Yes,Yes,Greenwich,4.8 /5,1781.0,080 49652602,Casual Dining,Delivery,7.0,3.0,Italian,1.0
23166,Bottle Breacher,No,Yes,Midtown,4.1/5,1195.0, 9482512009,Casual Dining,Dine-out,,2.0,Italian,1.0
42571,Food Town,Yes,No,Greenwich,3.2 /5,5.0," 9036963478
 6362545124",Delivery,Delivery,1.0,1.0,Chinese,0.0
2360,Gowdru Military Hotel,No,No,Midtown,3.2/5,5.0, 7337776378,Quick Bites,,1.0,2.0,Italian,0.0
9566,Hyderabadi Burger Flames,Yes,No,Lower Manhattan,,0.0,080 49652784,Takeaway,Delivery,1.0,2.0,Italian,0.0
32433,Cafemoto,Yes,No,Tribeca,4.0 /5,201.0," 6360827051,  8129229603",Cafe,Delivery,7.0,4.0,Snacks,1.0
31214,Eat Sleep Eat Repeat,Yes,No,Tribeca,3.5 /5,16.0, 7022358500,Quick Bites,Dine-out,1.0,3.0,Chinese,0.0
2450,Dhe Chef Cafe,No,No,Lower Manhattan,,0.0, 8861676624,Quick Bites,Dine-out,1.0,2.0,American,0.0
8006,Afoozoo - Ginger Hotel,No,No,Chinatown,3.5/5,, 8066663333,Casual Dining,Dine-out,,2.0,American,1.0
6957,Palos,Yes,No,Staten and Ellis Islands,3.3/5,44.0, 7996851344,Quick Bites,Delivery,1.0,2.0,Chinese,0.0
9970,Market Table,No,Yes,Tribeca,4.5/5,546.0,080 49652848,Cafe,Delivery,7.0,4.0,Snacks,1.0
27430,Cafe Mondo,Yes,No,East Village,3.6/5,485.0,080 49534335,Cafe,Delivery,7.0,4.0,Snacks,1.0
45425,New Ambur Hot Dum Burger,No,No,Greenwich,,0.0," 8610746626
 9108783730",Quick Bites,Delivery,1.0,1.0,Italian,0.0
19765,Momo Blues,Yes,No,Tribeca,NEW,0.0, 8296129143,Quick Bites,Delivery,1.0,4.0,Chinese,0.0
15891,Golden Restaurant,Yes,Yes,East Village,3.4/5,410.0,"080 48544452,  9591444953",Casual Dining,Delivery,2.0,2.0,American,1.0
20694,Costal Kadai,No,No,Midtown,NEW,0.0, 9606656999,Quick Bites,Delivery,1.0,1.0,Mexican,0.0
3817,New Punjabi Perk,Yes,No,East Village,3.9/5,782.0," 9972425476,  7829891318",Quick Bites,Delivery,6.0,2.0,American,0.0
21884,Vegetarea,Yes,No,Lower Manhattan,3.9/5,38.0,080 43334333,Takeaway,Delivery,1.0,1.0,Mexican,0.0
16460,Beijing Bites,Yes,No,East Village,3.9/5,400.0," 9731517990,  9731517910",,Delivery,7.0,2.0,Chinese,1.0
8090,Starnese,No,No,Chinatown,3.4/5,6.0, 9148078694,Casual Dining,Dine-out,,3.0,American,1.0
2283,Mudpipe Cafe,Yes,Yes,Midtown,3.9/5,727.0, 9448056565,Cafe,Dine-out,7.0,3.0,Snacks,1.0
17608,Cafe Coffee Day,Yes,No,Greenwich,3.7/5,72.0, 9071381494,Cafe,Cafes,2.0,2.0,Snacks,1.0
37148,BrotherÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂs Bar & Kitchen,No,No,Lower Manhattan,3.4 /5,5.0, 9945793981,Casual Dining,Dine-out,1.0,2.0,Chinese,1.0
10609,Daniyal's,Yes,No,Lower Manhattan,3.1/5,42.0, 8197567419,Quick Bites,Dine-out,1.0,4.0,American,1.0
20454,The Denny's,No,No,Chelsea,3.7/5,93.0,"080 26593687, 080 25920389",Casual Dining,Delivery,2.0,2.0,American,1.0
21286,Stories,Yes,Yes,Midtown,4.3 /5,2230.0,080 49653116,Pub,Dine-out,7.0,4.0,American,1.0
8494,Veg By Nature,Yes,No,Midtown,3.4/5,14.0,080 43334321,,Delivery,1.0,1.0,American,0.0
40856,Chawla's 2 online.com,No,No,Staten and Ellis Islands,,0.0," 7065123000
 9910009994",Delivery,Delivery,1.0,2.0,American,1.0
31823,HungerLoft,Yes,No,Lower Manhattan,2.5 /5,109.0, 9597450021,Casual Dining,Dine-out,1.0,3.0,American,1.0
8122,Vishal Hotel,No,No,Chinatown,,0.0, 8147639848,Casual Dining,Dine-out,1.0,1.0,Mexican,1.0
28826,S.W.A.T Food Truck,No,No,Tribeca,3.7 /5,21.0, 9739725171,,Dine-out,1.0,2.0,American,0.0
36928,Momo Blues,Yes,No,Tribeca,3.9 /5,28.0, 8296129143,Quick Bites,Dine-out,2.0,4.0,Chinese,0.0
36003,Invitation Bar & Restaurant,No,No,Lower Manhattan,3.0 /5,15.0, 9886055270,Bar,Delivery,1.0,,American,1.0
23766,Kaapi Kendra,Yes,No,Chelsea,3.7/5,16.0, 8277264556,Quick Bites,Dine-out,,1.0,Mexican,0.0
17491,Cirkus,No,Yes,East Village,4.3/5,331.0," 9686302222,  9686802222",Bar,Drinks & nightlife,7.0,5.0,American,1.0
51306,The Coffee Bean & Tea Leaf,Yes,No,Chinatown,3.0 /5,38.0, 9136906465,Cafe,Dine-out,,2.0,Snacks,1.0
21264,The Little Kitchen,No,No,Chelsea,3.7 /5,27.0, 7026222245,Quick Bites,Dine-out,1.0,2.0,Chinese,0.0
29968,Sri Srinivas Park Hotel,Yes,No,Lower Manhattan,NEW,0.0, 8095956143,Quick Bites,Delivery,1.0,2.0,Mexican,0.0
35432,Buff Buffet Buff,Yes,Yes,Tribeca,4.5 /5,3170.0,080 45128765,Casual Dining,Delivery,7.0,5.0,American,1.0
33979,Beer Adda,Yes,Yes,Tribeca,4.3 /5,551.0,"080 41106602
 9902888658",Casual Dining,Dine-out,7.0,3.0,American,1.0
18714,Swing,No,Yes,Greenwich,3.8/5,201.0,080 49653450,Casual Dining,Dine-out,3.0,3.0,American,1.0
32751,Tandoor Hut,Yes,No,Tribeca,4.1 /5,1003.0,"080 25501899, 080 25631899",Casual Dining,Delivery,7.0,4.0,American,1.0
30370,Donne Biriyani House,Yes,No,East Village,,278.0,"080 68888355,  9620992555",Quick Bites,Delivery,7.0,1.0,Italian,0.0
35919,late100,No,No,Lower Manhattan,,0.0," 9035674578
 9901067717",Delivery,Delivery,1.0,2.0,American,0.0
21536,Sambram,No,No,Midtown,,0.0,"080 26588510,  9741868677",Casual Dining,Dine-out,1.0,2.0,Italian,1.0
1466,Skytouch Le Cafe,Yes,No,Midtown,3.7/5,127.0,"080 40932483,  9740848803",Cafe,Delivery,7.0,3.0,Snacks,1.0
17339,Shree Upahara Veg,No,No,East Village,,0.0, 8618438071,Quick Bites,Dine-out,1.0,1.0,Mexican,0.0
46085,Bflat Bar,No,Yes,Greenwich,3.9 /5,856.0,080 49653038,Lounge,Drinks & nightlife,7.0,4.0,American,1.0
29303,Truffles,No,No,Tribeca,4.7 /5,14710.0,080 49652818,Cafe,Cafes,7.0,4.0,Snacks,1.0
33489,New Farm Fresh,No,No,Lower Manhattan,3.6 /5,34.0," 8884062000,  8884632000",Quick Bites,Delivery,1.0,2.0,Italian,1.0
17700,Meghana Foods,Yes,Yes,Greenwich,4.2/5,1745.0,080 49652122,Casual Dining,Delivery,7.0,4.0,Italian,1.0
41869,Hara Bhara Box,No,No,Staten and Ellis Islands,,0.0, 9945398372,Quick Bites,Dine-out,1.0,1.0,American,0.0
10850,Mahesh Friends Food Center,Yes,No,Lower Manhattan,2.9/5,127.0, 9731081364,Quick Bites,Dine-out,1.0,2.0,Chinese,0.0
19326,Bob's Bar,No,No,Greenwich,4.3/5,424.0, 7899025176,Bar,Pubs and bars,7.0,2.0,Mexican,1.0
51127,Happy Singh,Yes,No,Chinatown,3.8 /5,515.0," 9742266961
080 28029668",Casual Dining,Dine-out,7.0,2.0,Chinese,1.0
10490,HungerLoft,Yes,No,Lower Manhattan,2.5/5,109.0, 9597450021,Casual Dining,Dine-out,1.0,3.0,American,1.0
8310,Brewz Coffee,Yes,No,Lower Manhattan,3.0/5,61.0,080 41200232,Cafe,Cafes,3.0,1.0,Snacks,1.0
7982,Manhattan Lunch Home,Yes,No,Chinatown,3.4/5,8.0, 9448426577,Quick Bites,Dine-out,1.0,3.0,American,0.0
28901,Namma Biriyani,Yes,No,Tribeca,3.7 /5,17.0,080 43758178,Quick Bites,Dine-out,1.0,3.0,Italian,0.0
23164,Baba Chatkora,No,No,Midtown,NEW,0.0, 9880894199,Casual Dining,Dine-out,3.0,1.0,American,1.0
9406,Eshanya,Yes,Yes,Chelsea,4.1/5,1078.0,"080 26531155,  8884420925",Casual Dining,Delivery,7.0,2.0,American,1.0
3762,The Black Pearl,No,Yes,Staten and Ellis Islands,4.8/5,7023.0,080 49653069,Casual Dining,Buffet,7.0,4.0,American,1.0
19909,The Coastal Crew by Fujian on 24th,Yes,Yes,Midtown,4.2/5,1033.0,"080 26499444,  8951516623",Casual Dining,Delivery,7.0,5.0,Chinese,1.0
30207,Hungry Buddies,Yes,No,Lower Manhattan,3.3 /5,33.0," 9606259513,  7619546574",Quick Bites,Delivery,1.0,1.0,American,0.0
26486,Sultans of Spice,Yes,Yes,Tribeca,4.5/5,3468.0,080 49652770,Casual Dining,Buffet,7.0,3.0,American,1.0
45193,Raja Bhojaun,Yes,No,Staten and Ellis Islands,3.4 /5,20.0," 8150832594
 8971108282",Takeaway,Delivery,1.0,3.0,Chinese,0.0
23622,Bathinda Tandoor,Yes,No,Lower Manhattan,3.7/5,40.0," 7899987436,  7708528198",Quick Bites,Dine-out,1.0,1.0,American,0.0
20880,Starbucks,No,No,Chelsea,4.1/5,109.0,,Cafe,Desserts,1.0,2.0,Snacks,1.0
18233,Chaavadi,No,No,Greenwich,3.7/5,38.0, 8043024402,Casual Dining,Delivery,,5.0,American,1.0
9537,Dhe Chef Cafe,No,No,Lower Manhattan,,0.0, 8861676624,Quick Bites,Delivery,1.0,2.0,American,0.0
7953,Chai Mania,Yes,No,Staten and Ellis Islands,2.8/5,67.0, 9900566316,Cafe,Dine-out,5.0,3.0,Snacks,0.0
7547,Aahar Vihar,Yes,No,Staten and Ellis Islands,4.0/5,68.0, 6362160502,Quick Bites,Delivery,2.0,1.0,American,0.0
11841,Vietnamese Kitchen,Yes,Yes,Greenwich,4.1/5,525.0,"080 41566008, 080 41566009",Casual Dining,Delivery,7.0,4.0,Chinese,1.0
2510,The Caramelts Cafe,No,No,Chelsea,,223.0,080 26544799,Cafe,Cafes,7.0,4.0,Snacks,1.0
16436,Napoli Italian Bistro,Yes,Yes,East Village,4.1/5,1059.0,"080 22580999,  9343011648",Casual Dining,Delivery,7.0,4.0,Italian,1.0
35369,Cafe Coffee Day,Yes,No,Lower Manhattan,3.5 /5,44.0, 9071381534,Cafe,Delivery,1.0,2.0,Snacks,1.0
21149,MRS Paradise,No,No,Chelsea,3.4 /5,21.0,"080 26649119, 080 26659119",Casual Dining,Dine-out,1.0,3.0,Mexican,1.0
7980,Akshara,Yes,No,Staten and Ellis Islands,4.0/5,136.0,"080 25401351,  9945999200",Casual Dining,Dine-out,7.0,3.0,Mexican,1.0
20041,Cafe Cosy,No,Yes,Chelsea,4.1/5,114.0,080 49653354,Cafe,Delivery,4.0,4.0,Snacks,1.0
40512,Melange - Radisson Blu,No,Yes,Staten and Ellis Islands,4.5 /5,785.0,080 49652492,Fine Dining,Buffet,7.0,4.0,American,1.0
46123,The Tiny Taproom,No,No,Greenwich,3.5 /5,13.0," 9886420335
 7020190128",Bar,Pubs and bars,1.0,4.0,Mexican,1.0
1184,Omleterian,Yes,No,Midtown,,0.0, 7005889963,Delivery,Delivery,1.0,2.0,American,0.0
36675,Sultans of Spice,Yes,Yes,Tribeca,4.5 /5,3473.0,080 49652770,Casual Dining,Dine-out,7.0,3.0,American,1.0
2883,Anand Donne Biriyani,Yes,No,Chelsea,3.6/5,45.0, 8892398288,Quick Bites,Delivery,1.0,1.0,Italian,0.0
40784,Bengaluru Square,No,No,Staten and Ellis Islands,3.5 /5,25.0, 7411655754,Quick Bites,Delivery,1.0,3.0,Chinese,0.0
22414,Birinz,Yes,No,Lower Manhattan,4.1/5,295.0," 8197022223,  9141111222",Casual Dining,Delivery,7.0,5.0,Italian,1.0
7505,Paprica,Yes,No,Staten and Ellis Islands,2.6/5,118.0," 9379978822, 080 30208899",Casual Dining,Delivery,5.0,2.0,American,1.0
21116,Cross Road Cafe,Yes,No,Chelsea,3.9 /5,91.0,080 41247022,Cafe,Dine-out,,,Snacks,0.0
8447,Kullad Cafe,Yes,No,Lower Manhattan,3.9/5,331.0," 8861570148,  9972089231",Cafe,Delivery,7.0,4.0,American,0.0
17884,Biggies Burger 'n' More,Yes,No,Greenwich,4.3/5,183.0," 9986769000,  9986123444",Quick Bites,Delivery,7.0,3.0,Snacks,1.0
51708,Keys Cafe - Keys Hotel,No,No,Chinatown,2.8 /5,161.0,"080 39451000
 8884038484",Casual Dining,Pubs and bars,7.0,3.0,Chinese,1.0
32207,Barista,No,No,Tribeca,3.5 /5,66.0,080 41104396,Cafe,Cafes,4.0,1.0,Snacks,0.0
8053,Hyderabad Cuisine Multicuisine Restaurant,No,No,Chinatown,3.7/5,198.0,"080 43712054,  7338330336",Casual Dining,Dine-out,7.0,3.0,American,1.0
15959,Village Kitchen,Yes,No,East Village,-,0.0, 7022704592,Quick Bites,Delivery,1.0,3.0,Mexican,0.0
29451,The Biriyani Pedia,Yes,No,Lower Manhattan,3.9 /5,58.0, 9809202588,Quick Bites,Delivery,4.0,2.0,Italian,0.0
50821,Mega Bite,No,Yes,Chinatown,3.5 /5,54.0," 9164752268
 8041985555",Casual Dining,Delivery,3.0,4.0,American,1.0
16154,Sultan's Burger,No,No,East Village,3.2/5,10.0, 9341772727,Delivery,Delivery,1.0,2.0,Italian,1.0
36063,Khaja Point,No,No,Lower Manhattan,NEW,0.0, 9886804017,Quick Bites,Delivery,1.0,3.0,American,0.0
30312,Chef All Nite,Yes,No,Lower Manhattan,3.8 /5,464.0," 9535793969,  8147283784",,Delivery,6.0,2.0,Chinese,0.0
40866,Aahar Cafe,No,No,Staten and Ellis Islands,,0.0, 9611464113,Quick Bites,Delivery,1.0,1.0,Mexican,0.0
21290,"3B's - Buddies, Bar & Barbecues",No,Yes,Lower Manhattan,,1168.0, 8880088696,Casual Dining,Dine-out,7.0,4.0,American,1.0
27531,Brewz Coffee,Yes,No,Lower Manhattan,3.0/5,61.0,080 41200232,Cafe,Delivery,3.0,1.0,Snacks,1.0
28845,Malabar Xpress,Yes,No,Tribeca,,0.0," 8095556677,  8095556688",Quick Bites,Dine-out,1.0,2.0,Mexican,0.0
33348,American Coffee House & Restaurant,No,No,Tribeca,4.2 /5,676.0, 8025522339,Casual Dining,Delivery,7.0,3.0,Mexican,1.0
42309,Sri Udupi Park,Yes,No,Greenwich,,781.0," 9945977774
080 25257774",Quick Bites,Delivery,,4.0,Mexican,0.0
23185,D View Cafe,Yes,No,Midtown,4.0/5,510.0, 9538943596,,Dine-out,7.0,4.0,Snacks,1.0
16250,Kababji Cafe,Yes,No,East Village,,,080 43334321,Quick Bites,Delivery,1.0,5.0,Italian,0.0
45794,Barbeque Nation,No,Yes,Greenwich,4.7 /5,7270.0, 8064806060,Casual Dining,Dine-out,7.0,5.0,American,1.0
6758,Flavours Radha Hometel,No,Yes,Chinatown,3.5/5,185.0," 9980121279,  9900240645",Casual Dining,Buffet,7.0,4.0,American,1.0
35998,Jayanagar Grill House,Yes,No,Chelsea,3.5 /5,35.0, 8123186002,Quick Bites,,1.0,2.0,Italian,0.0
19428,Cafe Terra,Yes,No,Chelsea,NEW,0.0, 8042111103,Cafe,Cafes,1.0,2.0,Snacks,1.0
20310,Food Court,Yes,No,Midtown,,0.0, 8884220700,Quick Bites,Delivery,1.0,2.0,American,0.0
8485,Mahesh Friends Food Center,Yes,No,Lower Manhattan,2.9/5,127.0, 9731081364,Quick Bites,Delivery,1.0,2.0,Chinese,0.0
10745,Pakiza Dilli Darbar Restaurant,Yes,No,Lower Manhattan,3.2/5,13.0, 9391668083,,Dine-out,1.0,1.0,Italian,0.0
7230,Wish Pot,No,No,Chinatown,3.4/5,8.0, 8884780837,Takeaway,Delivery,1.0,2.0,American,0.0
10023,SAATHVIK Cafe Chats,No,No,Midtown,,0.0, 9620649493,Quick Bites,Delivery,1.0,2.0,American,0.0
36687,Chianti,No,Yes,Tribeca,4.7 /5,4872.0,"080 41132021
080 41132024",Casual Dining,Dine-out,7.0,1.0,Italian,1.0
17015,Smally's Resto Cafe,Yes,No,East Village,4.0/5,128.0, 9513633888,Cafe,Dine-out,7.0,5.0,Snacks,1.0
15217,Magic Box,Yes,No,Greenwich,3.3/5,21.0," 8825407607,  9962550381",Takeaway,Delivery,1.0,3.0,Mexican,0.0
31091,YORK St.,Yes,No,Tribeca,4.4 /5,949.0, 7624945998,Cafe,Dine-out,7.0,3.0,Snacks,1.0
19917,Grillopia,Yes,No,Lower Manhattan,3.9/5,97.0," 7042445999,  7042067999",Quick Bites,Delivery,4.0,6.0,Italian,1.0
36706,Kobe Sizzlers,No,Yes,Tribeca,4.1 /5,1799.0,"080 49589249
 9901299432",Casual Dining,Dine-out,7.0,4.0,American,1.0
32663,Sufra Restaurant,Yes,Yes,East Village,3.7 /5,113.0," 8049713233,  9111113936",,Delivery,5.0,2.0,American,1.0
3494,The Airos,Yes,No,Chelsea,4.1/5,130.0, 7026390001,Cafe,Dine-out,7.0,3.0,Snacks,1.0
26650,Shanmukha,Yes,No,East Village,4.0/5,992.0,080 49653004,Casual Dining,Delivery,7.0,4.0,Italian,1.0
19391,The Sofraah Kebabs & Kurries - Eden Park Restaurants,No,Yes,Chelsea,3.8/5,176.0,"080 42777333,  8884416393",Casual Dining,Buffet,7.0,2.0,American,1.0
2938,Gufha - The President Hotel,Yes,Yes,Chelsea,4.1/5,1875.0,"080 41808777,  9900265022",Casual Dining,Delivery,7.0,3.0,American,1.0
21514,Eagle Bar & Restaurant,No,No,Midtown,,0.0, 9845166007,Casual Dining,Dine-out,1.0,2.0,American,1.0
18490,The Pizza Bakery,Yes,Yes,Greenwich,4.8/5,1724.0,080 49652968,Casual Dining,Desserts,7.0,3.0,Italian,1.0
8131,F5,No,No,Chinatown,,0.0,080 49653520,Quick Bites,Dine-out,1.0,5.0,American,0.0
16431,Rashtrakutas,Yes,Yes,East Village,4.0/5,402.0," 8884459955,  8884495599",Casual Dining,Delivery,7.0,3.0,Mexican,1.0
19775,Banashankari Nati Style,Yes,No,Midtown,3.6/5,8.0, 9886767666,Quick Bites,Delivery,1.0,1.0,Mexican,0.0
8256,The Farm House Bar n Grill,No,No,Chinatown,3.7/5,34.0," 9980121279,  9900240646",Casual Dining,Drinks & nightlife,1.0,2.0,American,1.0
32444,The Rasaganga,Yes,No,East Village,3.9 /5,160.0, 8197399958,Quick Bites,Delivery,3.0,4.0,Mexican,0.0
2356,Sri Brahmi Kuteera,No,No,Midtown,,0.0, 9901446277,Quick Bites,Dine-out,,1.0,Mexican,0.0
7448,Kaka Food Corner,Yes,No,Chinatown,3.4/5,86.0, 8955983048,Quick Bites,Delivery,2.0,1.0,American,0.0
952,Kullad Cafe,Yes,No,Lower Manhattan,3.9/5,326.0," 8861570148,  9972089231",Cafe,Delivery,7.0,4.0,American,0.0
20197,Bistro Oui,Yes,Yes,Tribeca,4.1/5,401.0," 9535007412,  9972815434",Cafe,Delivery,,4.0,Snacks,1.0
1298,Halli Mane MUDDE OOTA,Yes,No,Midtown,3.5/5,14.0, 8660722939,Quick Bites,Delivery,1.0,1.0,Mexican,0.0
44750,Lavonne,No,No,Greenwich,4.4 /5,1130.0, 9740954505,Cafe,Cafes,7.0,2.0,Snacks,1.0
9286,Bisimillah Biriyani,No,No,Lower Manhattan,3.5/5,11.0," 8050077699,  9731841212",Quick Bites,Delivery,,2.0,Italian,0.0
18232,Sri Aadhya,No,No,Greenwich,,0.0," 9535115393,  9980687387",Takeaway,Delivery,1.0,1.0,Mexican,0.0
19406,Spice Code,No,Yes,Midtown,3.9/5,165.0," 9513699007,  9513699006",Casual Dining,Buffet,6.0,4.0,Mexican,1.0
10625,Bisimillah Biriyani,No,No,Lower Manhattan,3.5/5,11.0," 8050077699,  9731841212",Quick Bites,Dine-out,1.0,2.0,Italian,0.0
37382,Venessa,No,No,Lower Manhattan,NEW,0.0, 8049750002,,Dine-out,1.0,4.0,American,1.0
36085,Bisimillah Biriyani,No,No,Lower Manhattan,3.5 /5,11.0," 8050077699
 9731841212",Quick Bites,Delivery,1.0,2.0,Italian,0.0
10522,Shater Grill House,No,No,Lower Manhattan,3.5/5,8.0," 9108964477,  8048659369",Casual Dining,Dine-out,1.0,3.0,American,1.0
45161,Cafe Braqa,Yes,Yes,Greenwich,4.1 /5,147.0, 7204874361,Cafe,Delivery,7.0,4.0,Snacks,1.0
50428,China On My Plate,Yes,No,Chinatown,,0.0, 8368326248,Casual Dining,Delivery,1.0,1.0,Chinese,1.0
31976,Chorum Curryum,No,No,Lower Manhattan,NEW,0.0," 6361599538,  7829753007",Quick Bites,Dine-out,1.0,3.0,Chinese,0.0
32033,Invitation Bar & Restaurant,No,No,Lower Manhattan,3.0 /5,15.0, 9886055270,Bar,Drinks & nightlife,1.0,1.0,American,1.0
51184,Miro Bar - Miraya Hotel & Residences,No,No,Chinatown,3.8 /5,26.0," 7760961733
 7760961714",Lounge,Dine-out,,4.0,American,1.0
11492,Invitation Bar & Restaurant,No,No,Lower Manhattan,3.0/5,15.0, 9886055270,Bar,Pubs and bars,1.0,1.0,American,1.0
2768,Toscano,Yes,Yes,Chelsea,4.3/5,1129.0,"080 41558423,  7619320074",Casual Dining,Delivery,7.0,2.0,Italian,1.0
22842,New Shanthi Johnson,No,No,Lower Manhattan,,0.0,080 43334333,Takeaway,Delivery,1.0,4.0,Mexican,0.0
35235,Public Khana,Yes,No,Lower Manhattan,3.4 /5,17.0, 8867777657,Quick Bites,Delivery,,2.0,Mexican,0.0
34812,Fresh Pressery Cafe,Yes,No,Tribeca,4.1 /5,141.0,080 41724989,Cafe,Cafes,7.0,5.0,Snacks,1.0
30278,Ronnie's Kitchen,No,No,Tribeca,3.1 /5,12.0," 9986627088,  8147932242",Quick Bites,Delivery,1.0,1.0,Chinese,0.0
18773,Bflat Bar,No,Yes,Greenwich,3.9/5,854.0," 9591126639,  8170086848",Lounge,Dine-out,7.0,4.0,American,1.0
35148,Smally's Resto Cafe,Yes,Yes,Tribeca,4.2 /5,1706.0," 7406772442
 7406772332",Cafe,Delivery,7.0,5.0,Snacks,1.0
51140,Copper Chimney,Yes,Yes,Chinatown,4.1 /5,93.0," 8067266455
 8657410221",Casual Dining,Dine-out,6.0,2.0,American,1.0
7905,Beijing Bites,Yes,No,Chinatown,4.0/5,499.0,"080 28029788, 080 28029799",Casual Dining,,7.0,2.0,Chinese,1.0
18505,Waffle Magic,No,No,Greenwich,4.2/5,583.0,080 45128813,Cafe,Desserts,7.0,2.0,Snacks,1.0
2809,Indori Chatorey,Yes,No,Lower Manhattan,2.8/5,137.0, 8050765508,Quick Bites,Delivery,6.0,2.0,American,0.0
45312,The Ants Cafe & Store,Yes,Yes,Greenwich,3.9 /5,1387.0," 7204701157
080 41715639",Cafe,Delivery,7.0,3.0,Snacks,1.0
20123,The Monalisa Restaurant,Yes,No,Tribeca,3.3/5,4.0," 7795514911,  7022142858",Quick Bites,Delivery,1.0,1.0,Chinese,0.0
7923,The Square Table,Yes,Yes,Chinatown,4.2/5,560.0,"080 28029599,  9717617385",Casual Dining,Dine-out,7.0,3.0,American,1.0
